Ranking,Player,Tm,FantPos,Age,G,GS,Cmp,PassAtt,PassYds,PassTD,Ints,RushAtt,RushYds,Y/A,RushTD,Tgt,Rec,RecYds,Y/R,RecTD,Fmb,FL,TotalTD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
101,Cordarrelle Patterson,ATL,RB,31,9,8,0,0,0,0,0,108,566,5.24,5,16,11,65,5.91,0,1,1,6,,,97,108.1,112.1,102.6,,31,

102,Samaje Perine,CIN,RB,27,13,2,0,0,0,0,0,78,349,4.47,2,45,33,264,8.00,4,0,0,6,,,97,130.3,136.3,113.8,,30,

103,Carson Wentz,WAS,QB,30,6,6,144,232,1489,10,6,19,79,4.16,0,0,0,0,,0,6,1,0,,2,97,97.5,107.5,103.5,,30,

104,AJ Dillon ,GNB,RB,24,13,3,0,0,0,0,0,143,624,4.36,3,33,23,159,6.91,0,1,0,3,,,96,119.3,125.3,107.8,,32,

105,Breece Hall,NYJ,RB,21,7,2,0,0,0,0,0,80,463,5.79,4,31,19,218,11.47,1,1,1,5,,,96,115.1,122.1,105.6,,33,

106,D'Onta Foreman,CAR,RB,26,13,6,0,0,0,0,0,147,637,4.33,4,9,5,26,5.20,0,0,0,4,1,,92,97.3,100.3,94.8,,34,

107,Taylor Heinicke,WAS,QB,29,7,7,131,212,1444,9,5,23,67,2.91,1,0,0,0,,0,4,2,1,,,92,92.5,102.5,97.5,,31,

108,Adam Thielen,MIN,WR,32,13,13,0,0,0,0,0,0,0,,0,91,63,645,10.24,4,0,0,4,1,,91,153.5,156.5,122.0,,30,

109,D.J. Moore,CAR,WR,25,13,13,0,0,0,0,0,9,45,5.00,0,91,46,605,13.15,4,0,0,4,,,89,135.0,138.0,112.0,,31,

110,Baker Mayfield,2TM,QB,27,8,6,141,241,1543,7,6,20,62,3.10,1,0,0,0,,0,6,1,1,,,88,87.9,97.9,93.9,,32,

111,Mike Williams,LAC,WR,28,9,9,0,0,0,0,0,0,0,,0,66,44,626,14.23,4,0,0,4,,,87,130.6,133.6,108.6,,32,

112,Michael Pittman Jr.,IND,WR,25,12,12,0,0,0,0,0,0,0,,0,107,76,755,9.93,2,2,1,2,,,86,161.5,165.5,123.5,,33,

113,Josh Palmer,LAC,WR,24,12,10,0,0,0,0,0,1,4,4.00,0,92,61,665,10.90,3,1,0,3,,,85,145.9,148.9,115.4,,35,

114,Donovan Peoples-Jones,CLE,WR,23,13,11,0,0,0,0,0,1,2,2.00,0,80,53,751,14.17,1,1,1,2,,,85,138.3,142.3,111.8,,34,

115,Kareem Hunt,CLE,RB,27,13,0,0,0,0,0,0,106,423,3.99,3,35,27,179,6.63,1,1,0,4,,,84,111.2,117.2,97.7,,35,

116,Chris Godwin,TAM,WR,26,11,10,0,0,0,0,0,3,5,1.67,0,108,73,702,9.62,2,0,0,2,,,83,155.7,158.7,119.2,,36,

117,Zay Jones,JAX,WR,27,12,11,0,0,0,0,0,3,21,7.00,0,98,68,655,9.63,2,0,0,2,1,,82,149.6,152.6,115.6,,37,

118,Isiah Pacheco,KAN,RB,22,13,7,0,0,0,0,0,124,591,4.77,3,9,9,69,7.67,0,3,1,3,,,82,91.0,95.0,86.5,,36,

119,Tyler Allgeier,ATL,RB,22,12,5,0,0,0,0,0,131,604,4.61,1,10,10,87,8.70,1,0,0,2,,,81,91.1,94.1,86.1,,38,

120,Clyde Edwards-Helaire,KAN,RB,23,10,6,0,0,0,0,0,71,302,4.25,3,23,17,151,8.88,3,0,0,6,,,81,98.3,104.3,89.8,,37,

