patrick-mahomes,qb
josh-allen-4,qb
jalen-hurts,qb
joe-burrow,qb
geno-smith,qb
justin-fields,qb
kirk-cousins,qb
trevor-lawrence,qb
daniel-jones,qb
jared-goff,qb
justin-herbert,qb
tom-brady,qb
aaron-rodgers,qb
lamar-jackson,qb
tua-tagovailoa,qb
russell-wilson,qb
derek-carr,qb
dak-prescott,qb
kyler-murray,qb
marcus-mariota,qb
davis-mills,qb
andy-dalton,qb
mac-jones,qb
jacoby-brissett,qb
jimmy-garoppolo,qb
matt-ryan,qb
ryan-tannehill,qb
kenny-pickett,qb
baker-mayfield,qb
taylor-heinicke,qb
carson-wentz,qb
matthew-stafford,qb
brock-purdy,qb
zach-wilson,qb
deshaun-watson,qb
sam-darnold,qb
mitchell-trubisky,qb
mike-white,qb
cooper-rush,qb
tyler-huntley,qb
joe-flacco,qb
jameis-winston,qb
jarrett-stidham,qb
phillip-walker,qb
teddy-bridgewater,qb
bailey-zappe,qb
gardner-minshew,qb
desmond-ridder,qb
sam-ehlinger,qb
colt-mccoy,qb
joshua-dobbs,qb
malik-willis,qb
brett-rypien,qb
davis-webb,qb
david-blough,qb
skylar-thompson,qb
kyle-allen,qb
sam-howell,qb
john-wolford,qb
bryce-perkins,qb
jeff-driskel,qb
trace-mcsorley,qb
trey-lance,qb
nick-mullens,qb
tyrod-taylor,qb
jordan-love,qb
trevor-siemian,qb
nathan-peterman,qb
chris-streveler,qb
chase-daniel,qb
anthony-brown-3,qb
nick-foles,qb
blaine-gabbert,qb
brian-hoyer,qb
brandon-allen,qb
josh-johnson,qb
case-keenum,qb
jake-fromm,qb
jake-luton,qb
